11. Budapest Keleti - 2022.07.11-tól,,,,,,,
Összeállítás,Szerelvénysz.,Hétfő,Kedd-Csütörtök,Péntek,Szombat,Vasárnap,Hétfő
"1 Bbdpmz (84-91), 1 Bmz (21-91.1)",1122,114 - 131v - 20238 - Karb.,20321 - 130e - 115,114 - 131v - 20238 - Karb.,20321 - 130e - 115,114 - 131v - 20238 - Karb.,20321 - 130e -...
"1 Bbdpmz (84-91), 1 Bmz (21-91.1)",1123,20321 - 130e - 115,114 - 131v - 20238 - Karb.,20321 - 130e - 115,114 - 131v - 20238 - Karb.,20321 - 130e - 115,114 - 131v - ...
"1 Bpmz (20-91.1) , 1 Bmz (21-91.3), 1 WRmz (88-91), 1 Apmz (10-91)",1124,131e - 20238 - Karb.,20321 - 130v,131e - 20238 - Karb.,20321 - 130v,131e - 20238 - Karb.,20321 - 130v
"1 Bpmz (20-91.1) , 1 Bmz (21-91.3), 1 WRmz (88-91), 1 Apmz (10-91)",1125,20321 - 130v,131e - 20238 - Karb.,20321 - 130v,131e - 20238 - Karb.,20321 - 130v,131e - 20238 - Karb.
"1 Amz (19-91.3) dekl!, 1 Bcmz (50-91.2), 1 WLABmz (71-91.1)",1126,Berlin - 457,477<3> - 20230 - Karb. - 20322 - 476<2> - 456,Berlin - 457,477<3> - 20230 - Karb. - 20322 - 476<2> - 456,Berlin - 457,477<3> - ...
"1 Amz (19-91.3) dekl!, 1 Bcmz (50-91.2), 1 WLABmz (71-91.1)",1127,477<3> - 20230 - Karb. - 20322 - 476<2> - 456,Berlin - 457,477<3> - 20230 - Karb. - 20322 - 476<2> - 456,Berlin - 457,477<3> - 20230 - Karb. - 20322 - 476<2> - 456,Berlin - 457
2 ABmz (dekl!),1128,477<1> - 20230 - Karb. - 20322 - 476<4>,477<1> - 20230- Karb. - 20322 - 476<4>,477<1> - 20230- Karb. - 20322 - 476<4>,477<1> - 20230- Karb. - 20322 - 476<4>,477<1> - 20230- Karb. - 20322 - 476<4>,477<1> - 20230- ...
"1 Amz (19-91.1), 2 Bpmz (20-91.4)",1129,463v - Karb. - 462e,463v - Karb. - 462e,463v - Karb. - 462e,463v - Karb. - 462e,463v - Karb. - 462e,463v - ...
"1 WLABmz (71-91.0), 1 Bcmz (50-91.1), 1 Bmz (21-91.3)",1130,463k - Karb. - 462k,München,463k - Karb. - 462k,München,463k - Karb. - 462k,München
"1 WLABmz (71-91.0), 1 Bcmz (50-91.1), 1 Bmz (21-91.3)",1131,München,463k - Karb. - 462k,München,463k - Karb. - 462k,München,463k - ...
"1 Bmz (21-91.3), 1 Bcmz (50-91.1), 1 WLABmz (71-91.1)",1132,463e - Karb. - 462v,466 - Zürh - 467,463e - Karb. - 462v,466 - Zürh - 467,463e - Karb. - 462v,466 -...
"1 Bmz (21-91.3), 1 Bcmz (50-91.1), 1 WLABmz (71-91.1)",1133,466 - Zürh - 467,463e - Karb. - 462v,466 - Zürh - 467,463e - Karb. - 462v,466 - Zürh - 467,463e - ...
2 Bd (20-30),1134,200<4> -Bs- 200e -Gs- 200v - 201e -Gs- 201v -Kn- 201<2> - 20431,Karb. - 20341 - 204k -Gs- 204v,205e -Gs- 205v -Kn- 205k,200<4> -Bs- 200e -Gs- 200v - 201e -Gs- 201v -Kn- 201<2> - 20431,Karb. - 20341 - 204k -Gs- 204v,205e - ...
2 Bd (20-30),1135,Karb. - 20341 - 204k -Gs- 204v,205e -Gs- 205v -Kn- 205k,200<4> -Bs- 200e -Gs- 200v - 201e -Gs- 201v -Kn- 201<2> - 20431,Karb. - 20341 - 204k -Gs- 204v,205e -Gs- 205v -Kn- 205<2>,200<4> - ...
2 Bd (20-30),1136,205e -Gs- 205v -Kn- 205k,200<4> -Bs- 200e -Gs- 200v - 201e -Gs- 201v -Kn- 201<2> - 20431,Karb. - 20341 - 204k -Gs- 204v,205e -Gs- 205v -Kn- 205k,200<4> -Bs- 200e -Gs- 200v - 201e -Gs- 201v -Kn- 201<2> - 20431,Karb. - 20341 - 204k...
"3 Bcmz (50-91.2), 1 WRm (88-81), 3 WLABmz(71-91.1)",1137,Split,(2) 1205-Gs-1205e-Karb.-1204v-Gs-1204(3)Split(4)1205-Gs-1205e-Karb.,1204v - Gs - 1204,Split,1205-Gs-1205e-Karb.-1204v-Gs-1204,Split
"1 Bc (59-80), 2 Bd (20-30), 1 Bc (59-80)",1138,1247 - 917e - 20933 - Karb. - 20392 - 928e - 1246,(2)Koper/Rijeka (3)1247 - 917e - 20933 - Karb. (4)20392 - 928e - 1246,"1Bc,1Bd: 1605 - Koper - 1604, 1Bc,1Bd: 481 - Rijeka - 480",1247 - 917e - 20933 - Karb. - 20392 - 928e - 1246,"1Bc,1Bd: 1605 - Koper - 1604, 1Bc,1Bd: 481 - Rijeka - 480",1247 - 917e - 20933 - Karb. - ...
"1WRR(88-71), 1 Amz (19-91.3)",1140,1877e - 1874v - 1873e - 20432,Karb. - 20340 - 1862v - 1875e - 1876v - 1871e,200<3> - Bs - 860v - 1865e - 1866v - 1861e,Tartalék (B) - 1878v,1867e - 1864<4> - 1863<1> - 1868v,1877e - ...
"1WRR(88-71), 1 Amz (19-91.3)",1141,Karb. - 20340 - 1862v - 1875e - 1876v - 1871e,200<3> - Bs - 860v - 1865e - 1866v - 1861e,Tartalék (B) - 1878v,1867e - 1864<4> - 1863<1> - 1868<4>,1877<1> - 1874<4> - 1873<1> - 20432,Karb. - 20340 - 1862v - ...
"1WRR(88-71), 1 Amz (19-91.3)",1142,200<3> - Bs - 860v - 1865e - 1866v - 1861e,Tartalék (B) - 1878v,1867e - 1864v - 1863e - 1868v,1877e - 1874v - 1873e - 20432,Karb. - 20340 - 1862<4> - 1875<1> - 1876<4> - 1871<1>,200<3> - ...
"1WRR(88-71), 1 Amz (19-91.3)",1143,Tartalék (B) - 1878v,1867e - 1864v - 1863e - 1868v,1877e - 1874v - 1873e - 20432,Karb. - 20340 - 1862<4> - 1875<1> - 1876<4> - 1871<1>,200<3> - Bs - 860v - 1865e - 1866v - 1861e,Tartalék (B) - 1878v
"1WRR(88-71), 1 Amz (19-91.3)",1144,1867e - 1864v - 1863e - 1868v,1877e - 1874v - 1873e - 20432,Karb. - 20340 - 1862v - 1875e - 1876<4> - 1871<1>,200<3> - Bs - 860v - 1865e - 1866v - 1861e,Tartalék (B) - 1878v,1867e - ...
1 MRT Bpee (20-36),1150,742v - 745e - 748v - 7548v,759e - 7404v - 743e - 7408v,(Bcsaba) - 759v(lezárva) - Karb.,7400v - 7407e - 746v - 741e,7402v - 747e - 7406v - 7401e,742v - ...
1 MRT Bpee (20-36),1151,759e - 7404v - 743e - 7408v,(Bcsaba) - 759v(lezárva) - Karb.,23612v - 3629e - 7400v - 7407e - 746v - 741e,7402v - 747e - 7406v - 7401e,742v - 745e - 748v - 7548v,759e - ...
1 MRT Bpee (20-36),1152,(Bcsaba) - 759v(lezárva) - Karb.,23612v - 3629e - 7400v - 7407e - 746v - 741e,23616k - 3669k - 7402v - 747e - 7406v - 7401e,742v - 745e - 748v - 7548v,759e - 7404v - 743e - 7408v,(Bc) - 759v - Karb. - ...
1 MRT Bpee (20-36),1153,23612v - 3629e - 7400v - 7407e - 746v - 741e,23616k - 3669k - 7402v - 747e - 7406v - 7401e,742v - 745e - 748v - 7548v,759e - 7404v - 743e - 7408v,(Bcsaba) - 759v(lezárva) - Karb.,23612v - 3629e - 7400v ...
1 MRT Bpee (20-36),1154,23616k - 3669k - 7402v - 747e - 7406v - 7401e,742v - 745e - 748v - 7548v,759e - 7404v - 743e - 7408v,(Bcsaba) - 759v(lezárva) - Karb.,7400v - 7407e - 746v - 741e,23616k - 3669k - 7402v -...
"2 Bmz (21-91), 1 Bbdpmz (84-91)",1155,23610v - 3649e - 560e - 658v,23610v - 3649e - 560e - 658v,23610v - 3649e - 560<2> - 658<3>,560e - 658v,560<2> - 658<3>,23610v - 3649e - ...
1 ARmz (85-91),1156,560v - 658e,560v - 658e,560<3> - 658<2>,560k - 658k,560<3> - 658<2>,560v - 658e
1 MRT Apee (18-36) dekl!,1157,28520e - 829e - 824v - 823e - Kl! - 20939,23610k - 3649k - 20398 - Kl! - 822v - 825e - 826v - 28523k,28520e - 829e - 824v - 823e - Kl! - 20939,20398 - Kl! - 822v - 825e - 826v,829e - 824v - 823e - Kl! - 20939,23610k - 3649k - ...
1 MRT Apee (18-36) dekl!,1158,23610k - 3649k - 20398 - Kl! - 822v - 825e - 826v - 28523k,28520e - 829e - 824v - 823e - Kl! - 20939,20398 - Kl! - 822v - 825e - 826v,829e - 824v - 823e - Kl! - 20939,20398 - Kl! - 822v - 825e - 826v - 28523k,28520e - 829e - Kl! -  ...
"1 Bmx (21-05), 1 Bdmpee (84-05), 1 Bpmz (20-71/20-91), 1 Bmz (21-91.3), 1 ARmz (85-91)1 Bmx (21-05), 1 Bdmpee (84-05), 1 Bpmz (20-71/20-91), 1 Bmz (21-91.3), 1 ARmz (85-91)1 Bmx (21-05), 1 Bdmpee (84-05), 1 Bpmz (20-71/20-91), 1 Bmz (21-91.3), 1 ARmz (85-91)1 Bmx (21-05), 1 Bdmpee (84-05), 1 Bpmz (20-71/20-91), 1 Bmz (21-91.3), 1 ARmz (85-91)1 Bmx (21-05), 1 Bdmpee (84-05), 1 Bpmz (20-71/20-91), 1 Bmz (21-91.3), 1 ARmz (85-91)1 Bmx (21-05), 1 Bdmpee (84-05), 1 Bpmz (20-71/20-91), 1 Bmz (21-91.3), 1 ARmz (85-91)",1160,19707 - 19794 - 19793 - 20431,Karb. - 20341 - 19706,19797 - 19706v,19797e - 19706,19797 - 19706,19797 - ...
"",1161,Karb. - 20341 - 19706,19797 - Tartalék (B),19700 - 19705 - 19796 Sm-ig!,Sm-től! 19705 - 19796 Sm-ig!,Sm-től! 19705 - 19796,1979 - ...
"",1162,19797 - Tartalék (B),19700 - 19705 - 19796,1979 - 19704 - 19703 - 19798,1979 - 19704 - 19703 - 19798,1979 - 19704 - 19703e - 20432,Karb. - 20343 - 19702 - ...
"",1163,19700 - 19705 - 19796,1979 - 19704 - 19703 - 20432,Karb. - 20343 - 19702 - 19795 - 19708,19707 - 19794 - 19793,19702v - 19795e - 19708,19707 - ...
"",1164,1979 - 19704 - 19703 - 20432,Karb. - 20343 - 19702 - 19795 - 19708,19707 - 19794 - 19793,19702v - 19795 - 19708,19707 - 19794 - 19793e - 20431,Karb. - 20341 - 19706 - ...
"",1165,Karb. - 20343 - 19702 - 19795 - 19708,19707 - 19794 - 19793 - 20431,Karb.,20343 - 19700 - Tartalék (Tp) - 19701,19700v - Tartalék (Tp) - 19701,19700 - ...
1 Ddmee (94-91),1166,Tartalék (B),Tartalék (B) - 20431- Karb.,20340 - Tartalék (B),4592e - 4501v,4592e - 4501v,Tartalék (B)
1 Bbdpmz (84-91.41x),1170,952v - 909e - 954v - 905e - 956v - 9003e - 958v - 901e - 20431,Karb.,20343 - 900v - 959e - 904v - 967e - 9006v - 247e - 908v - 963e,952v - 909e - 954v - 905e - 956v - 9003e - 958v - 901e,900v - 959e - 904v - 967e - 9006v - 247e - 908v - 963e - 968v,9059e - 902v - ...
1 Bbdpmz (84-91.41x),1171,Karb.,20343 - 900v - 959e - 904v - 967e - 9006v - 247e - 908v - 963e - 968v,9059e - 902v - 957e - 9004v - 955e - 906v - 953e - 9008v - 951e,900v - 959e - 904v - 967e - 9006v - 247e - 908v - 963e,902v - 957e - 9004v - 955e - 906v - 953e - 9008v - 951e,950v - ...
1 Bbdpmz (84-91.41x),1172,20343 - 900v - 959e - 904v - 967e - 9006v - 247e - 908v - 963e - 968v,9059e - 902v - 957e - 9004v - 955e - 906v - 953e - 9008v - 951e,950v - 969e - 246v - 907e - 964v - 9005e - 966v - 903e - 9068v - 9061e,902v - 957e - 9004v - 955e - 906v - 953e - 9008v,969e - 246v - 907e - 964v - 9005e - 966v - 903e - 9068v - 9061e,952v - ...
1 Bbdpmz (84-91.41x),1173,9059e - 902v - 957e - 9004v - 955e - 906v - 953e - 9008v - 951e,950v - 969e - 246v - 907e - 964v - 9005e - 966v - 903e - 9068v - 9061e,952v - 909e - 954v - 905e - 956v - 9003e - 958v - 901e,950v - 969e - 246v - 907e - 964v - 9005e - 966v - 903e - 9068v - 9061e,952v - 909e - 954v - 905e - 956v - 9003e - 958v - 901e - 20431,Karb.
1 Bbdpmz (84-91.41x),1174,950v - 969e - 246v - 907e - 964v - 9005e - 966v - 903e - 9068v - 9061e,952v - 909e - 954v - 905e - 956v - 9003e - 958v - 901e - 20431,Karb.,Tartalék (Su),Tartalék (Su),20343 - 900v - ...
