Összeállítás,Fordasor,H (Hétfő),K (Kedd),Sze (Szerda),Cs (Csütörtök),P (Péntek),Szo (Szombat),V (Vasárnap),Mire fordul
2 Bp (2044),32214,5119(3/3) - 580(2/1) - 604(2/2) - 603(2/1) - 6088(2/2),"6019(3/2) - 34(3/2)(NI) - (NI)34(2/2)(ZN) - (ZN)34(2/1) - 31(ZN) -(ZN)31(2/1)",600(2/2) - 605(2/1) - 606(3/3)(DB) - 638 - 32421,"32410(2/1) - 639 - (DB)619(2/2) - 606(3/1)(DB) - (DB)606(2/1) -26211(2/2)","6119(2/2) - 6284(2/1)(ZN) - (ZN)6284(2/1) - 33(2/1)(ZN) -(ZN)33(3/1) - 618(3/3)",609(3/2) - 602(3/2) - 615(2/1) - 626(2/2),617(3/1) - 614(3/3)(NI),(NI)Karb
2 Bp (2044),32215,"6019(3/2) - 34(3/2)(NI) - (NI)34(2/2)(ZN) - (ZN)34(2/1) - 31(ZN) -(ZN)31(2/1)",600(2/2) - 605(2/1) - 606(3/3)(DB) - 638 - 32421,"32410(2/1) - 639 - (DB)619(2/2) - 606(3/1)(DB) - (DB)606(2/1) -26211(2/2)",(NI)Karb - 6228(2/1),617(5/5) - 614(5/1)(NI) - (NI)614(3/1),617(5/1) - 614(5/5)(NI),605(3/2) - 606(4/3)(DB) - (DB)606(3/3) - 26211(4/1),(NI)Karb
2 Bp (2044),32216,600(2/2) - 605(2/1) - 606(3/3)(DB) - 638 - 32421,"32410(2/1) - 639 - (DB)619(2/2) - 606(3/1)(DB) - (DB)606(2/1) -26211(2/2)",(NI)Karb,"6119(2/2) - 6284(2/1)(ZN) - (ZN)6284(2/1) - 33(2/1)(ZN) -(ZN)33(2/1) - 618(2/2)",(1Bpee) 609(3/1) - 602(3/3) - 615(5/3) - 626(5/3),(1Bpee) 617(5/3) - 614(5/3)(NI) - (NI)6231(5/5),(1Bpee) 6019(5/5) - 34(5/1)(NI) - (NI)34(4/1)(ZN) - (ZN)33(5/4) -,5119(5/5)
"",,,,,,(1Bpee) 615(5/2) - 626(5/4),(1Bpee) 617(5/2) - 614(5/4)(NI),(1Bpee) (NI)Fordaközi tartalék,
2 Bp (2044),32217,"32410(3/1) - 639 - (DB)619(2/2) - 606(3/1)(DB) - (DB)606(2/1) -26211(2/2)",(NI)Karb,"6119(2/2) - 6284(2/1)(ZN) - (ZN)6284(2/1) - 33(2/1)(ZN) -(ZN)33(2/1) - 618(2/2)",(1Bpee) 609(3/1) - 602(3/3) - 615(5/3) - 626(5/3)(NI) -,(1Bpee) 617(5/2) - 614(5/4)(NI),(1Bpee) (NI)Fordaközi tartalék,5119(3/3) - 580(2/1) - 604(2/2) - (NI)603(7/1) - 6088(7/7),6019(3/2)
"",,,,,(1Bpee) 615(5/2) - 626(5/4)(NI) - (NI)626(4/4),(1Bpee) 617(5/1) - 614(5/5)(NI) - (NI)6231(4/4),(1Bpee) 6019(5/5) - 34(5/1)(NI) - (NI)34(3/1)(ZN) - (ZN)33(3/3) -,,
2 Bp (2044),32218,(NI)Karb,"6119(2/2) - 6284(2/1)(ZN) - (ZN)6284(2/1) - 33(2/1)(ZN) -(ZN)33(2/1) - 618(2/2)",(1Bpee) 609(3/1) - 602(3/3) - 615(3/2) - 626(3/2),617(2/1) - 614(2/2)(NI),(NI)Karb,5119(4/3) - 580(3/2) - 604(3/2) - 6088(2/2),"6019(5/2) - 34(5/4)(NI) - (NI)34(4/4)(ZN) - (ZN)34(2/1) - 31(ZN) -(ZN)31(2/1)",600(2/2)
"",,,,(1Bpee) 615(3/1) - 626(3/3),,,,,
2 Bp (2044),32219,"6119(3/3) - 6284(2/1)(ZN) - (ZN)6284(2/1) - 33(2/1)(ZN) -(ZN)33(2/1) - 618(2/2)",(1Bpee) 609(3/1) - 602(3/3) - 615(3/2) - 626(3/2),617(2/1) - 614(2/2)(NI),(NI)Karb,5119(3/3) - 580(2/1) - 604(2/2) - 603(2/1) - 6088(2/2),"6019(5/3) - 34(5/3)(NI) - (NI)34(3/3)(ZN) - (ZN)34(2/1) - 31(ZN) -(ZN)31(2/1)",600(2/2) - 605(3/1) - 606(4/4)(DB) - 638 - 32421,32410(3/1)
"",,,(1Bpee) 615(3/1) - 626(3/3),,,,,,
1 Ap (1044),32221,609(5/5) - 602(5/1),609(3/3) - 602(3/1),609(3/3) - 602(3/1),609(3/3) - 602(3/1) - 615(5/5) - 626(5/1)(NI) - (NI)626(4/1),617(5/4) - 614(5/2)(NI) - (NI)614(3/2) - 26213(6/6),(NI)Karb,615(4/2) - 626(4/3)(NI),(NI)Karb
1 Ap (1044),32222,(NI)Karb,(NI)Karb,(NI)Karb,(NI)Karb,609(3/3) - 602(3/1) - 615(5/5) - 626(5/1),617(5/5) - 614(5/1)(NI) - (NI)614(2/1),617(3/3) - 614(3/1)(NI) - (NI)614(2/1) - 26211(4/4),(NI)Karb
1 Ap (1044),32223,(NI)Karb,(NI)Karb,(NI)Karb,(NI)Karb,(NI)Karb,(NI)6231(5/4),"6019(5/4) - 34(5/2)(NI) - (NI)34(4/2)(ZN) - (ZN)33(5/3) -618(5/3)",609(5/5) - 602(5/1)
